tick	_total	create	finish	memory	needList	roomUpdate	run
17513091	6358,7	107,4	0,3	1310,6	672,8	1516,3	2917
17513220	6895,4	107,5	0,2	1333,8	699,9	1621,8	3679,2
17513220	6895,4	107,5	0,2	1333,8	699,9	1621,8	3679,2
17513582	6650,4	66,6	0,1	1281,6	793,5	1599	2999,9
17513582	6650,4	66,6	0,1	1281,6	793,5	1599	2999,9
17513698	6474,1	109,6	0,1	1215,2	681,6	1499,6	3256,8
17513698	6474,1	109,6	0,1	1215,2	681,6	1499,6	3256,8
17513815	6584,9	82,6	0,1	1235	729,5	1641,2	3117,2
17513815	6584,9	82,6	0,1	1235	729,5	1641,2	3117,2
17513924	6463,6	96	0,1	1159,3	673,8	1307,9	3220,9
17513924	6463,6	96	0,1	1159,3	673,8	1307,9	3220,9
17514042	6595,6	109,8	0,1	1231,7	753,7	1547,1	3289
17514042	6595,6	109,8	0,1	1231,7	753,7	1547,1	3289
17514149	6222,2	101	0,5	1306,2	708	1466,8	2722,7
17514255	6226,4	150,5	0,1	1096,2	739,9	1404,6	2829,7
17514363	6660,5	200,4	0,2	1391,3	878	453,8	3834,7
17514463	5632,4	117,5	0,2	1311,6	833,1	87	3274,2
17514563	6152,9	167,5	0,2	1349,3	823,4	109,7	3696,1
17514663	5611,2	111,8	0,2	1344,2	791,2	78,6	3278,4
17514763	5337,2	115,1	0,1	1288,9	751,7	66,3	3110,1
17514863	5478,9	123,7	0,1	1175,3	713,2	63,3	3398,5
17514963	5519,1	66,5	0,1	1273,4	800,4	66,9	3307
17515063	5205,8	129,6	0,1	1188,5	676	68,9	3138,2
17515163	5330,5	120,4	0,1	1271	746,6	66,5	3121,1
17515263	5095,5	80,9	0,1	1250,5	746,7	73,2	2939,5
17515363	4962,6	102	0,1	1175,7	665,7	62,4	2952,9
17515463	4444,6	95	0,1	1194,1	596,3	57,3	2497,5
17515563	4396,9	74	0,1	1183,5	633,8	58	2443,6
17515663	4810,5	134,3	0,1	1253,4	629,5	56,3	2732,6
17515763	4643,1	105,8	0,1	1218,6	619,4	50,4	2644,7
17515863	4708,8	116,8	0,1	1141,2	657,6	53,6	2735,8
17515963	4644,3	57,6	0,2	1183,5	647,2	50,3	2701,9
17516063	4678,9	144,7	0,1	1081,2	681,7	68,7	2698,2
17516163	4647,7	109,7	0,1	1229,6	687,6	64,8	2550,2
